title,date
Introduction to syntax,2022-09-28
Lists, Sets and Tuples,2022-09-29
Functions,2022-10-03
Generators,2022-10-05
Classes,2022-10-06
Classes II,2022-10-10
Classes III,2022-10-11
Classes IV,2022-10-19
Classes V,2022-10-20
SQL Intro,2022-10-24
SQL with Python,2022-10-26
Scraping,2022-10-27
